Jaar,Totaal productievolume (1995 = 100),Plantaardig productievolume (1995 = 100),Dierlijk productievolume (1995 = 100),Uitstoot broeikasgassen (1995 = 100),Verlies stikstof naar lucht en bodem (1995 = 100),Verlies fosfor naar de bodem (1995 = 100),Uitstoot fijnstof - stationaire bronnen (1995 = 100),Uitstoot fijnstof - mobiele landbouwwerktuigen (1995 = 100)
1995,100,100,100,100,100,100,100,100
1996,"99,3","98,5",100,"101,5","93,6","98,3",,
1997,"103,1","104,4","101,7","94,6","89,7","81,7",,
1998,"100,8","102,4","99,2","92,2","95,1","93,3",,
1999,"104,8","108,2","101,3","90,1","87,3",85,,
2000,"105,8","112,3","98,8","87,2",76,75,"105,3","90,1"
2001,"101,6","108,3","94,4","85,4","67,9","63,3","105,3","86,5"
2002,"101,3","107,7","94,3",80,"58,2","43,3","101,8","80,9"
2003,"101,7","110,9","91,6","79,1","68,4","66,7","87,7","79,4"
2004,"106,5","115,1","97,2","79,1",62,"43,3","96,5",73
2005,"106,2","114,5","97,1","79,7","59,8",50,100,73
2006,"105,8","113,5","97,5","78,5","61,2",55,"98,2","68,8"
2007,"108,1","115,4","100,2","80,6","56,3","36,7","105,3","65,2"
2008,"110,6","118,5","101,9","84,2","50,1","26,7","108,8","54,6"
2009,"112,9","121,2","103,9","84,2","49,3","18,3","108,8","46,8"
2010,"113,3",121,"104,9","89,3","48,6","36,7","110,5","45,4"
2011,"112,6","120,3","104,2","84,8","47,4",20,"112,3","43,3"
2012,"112,8","119,9","105,1","83,9","46,7",10,"110,5","40,4"
2013,"114,4","120,1","108,1","85,1","47,4",15,"112,3",39
2014,"115,6","124,3","106,1","81,5","44,4",5,"112,3",39
2015,"117,1","122,7","110,6","84,5","53,7","13,3","112,3","36,2"
2016,"119,6",122,117,"84,8","52,8",15,"112,3","31,9"
2017,"120,4","125,1",115,"85,4",49,"6,7","110,5","29,1"
2018,"117,9","121,6","113,3","84,8","53,9","21,7","108,8","30,5"
2019,120,"123,5","115,8","84,2","46,7","13,3",107,27
2020,"119,5","121,7",117,83,"48,5","16,7","108,8","25,5"
2021,"119,6",126,"114,7","83,3","46,1","6,7",107,"23,4"
